Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig	Gene_base
srfAA_comS.558	19761.6544362247	-0.461590390637641	0.127463807360571	-3.62134475813899	0.000293075649674614	0.0111918263719493	1	srfAA_comS
ykoM.1989	1653.73644899134	-0.460262598469704	0.14702272302842	-3.13055416869632	0.00174476818142609	0.0457814325887079	1	ykoM
bmrU.3617	3942.7353857851	-0.459450347384707	0.114461002527225	-4.01403392631848	5.96897614122926e-05	0.00340390812747167	1	bmrU
sigB.743	37683.2151440411	-0.457947907805999	0.0874112178558993	-5.23900614862664	1.61443660311691e-07	2.7619781406124e-05	1	sigB
csbA.5315	1053.3852349188	-0.455816934109859	0.122735888509785	-3.71380318865349	0.000204167597936397	0.00866058417859728	1	csbA
nhaX.1435	3942.74079849536	-0.453266517583234	0.130446564967818	-3.47472942422866	0.00051136886984629	0.0169544547002526	1	nhaX
bmr.3618	4955.85988212058	-0.452572606741276	0.0906701954943107	-4.99141536283193	5.99384464536597e-07	8.54522451607675e-05	1	bmr
S928_mgsR.3728	2601.98536689078	-0.448867714149202	0.106477439506299	-4.21561333772163	2.49100248481829e-05	0.00180576569958776	1	S928_mgsR
ydhE.885	1265.88288561109	0.448312745576392	0.115817717954546	3.8708476862956	0.000108457545839796	0.00532145005209585	1	ydhE
maeS.1153	440.059289168394	-0.444777928909561	0.141227240905641	-3.1493777408477	0.00163618554156327	0.0437372847579131	1	maeS
brxJ.4516	7110.98452228366	-0.439922776492038	0.0894475929919922	-4.91821816302449	8.73355464468045e-07	0.000116729416297807	1	brxJ
bacC.5702	1564.1567169983	0.438009196109001	0.106246516613214	4.12257465064529	3.74661135691232e-05	0.00258455754411516	1	bacC
yfhK.1282	5824.61779538481	-0.432874690749769	0.114311281626054	-3.78680638159432	0.000152595911330353	0.00701777110494536	1	yfhK
srfAA.555	27947.4758306896	-0.428445674355258	0.130600737665182	-3.28057622043187	0.00103595269320974	0.030347737457932	1	srfAA
epsK.5179	1153.0844886957	0.426497928382084	0.124763310398329	3.41845633159632	0.00062977422583408	0.0202522132623486	1	epsK
sunA.3236	2788.83221132042	0.425869315921973	0.113480998265899	3.75278083934467	0.000174883738490171	0.0077111108198192	1	sunA
epsL_epsK.5178	998.215879290493	0.425246298501397	0.12808718831734	3.31997527690153	0.000900254202973099	0.0269257847980136	1	epsL_epsK
yvrE.5026	2208.05377776819	-0.424665689098251	0.101918106823821	-4.16673447273056	3.0899405576652e-05	0.00216650422379247	1	yvrE
S1290.5097	4753.26025052078	-0.423606208937493	0.0862786055598309	-4.90974797504972	9.11935167076431e-07	0.000118192324532906	1	S1290
srfAC.561	41420.1337537034	-0.422999176779127	0.116141029715266	-3.64211663884986	0.000270405494633047	0.0105138572776868	1	srfAC
bacD.5701	4746.53903781417	0.418276797435615	0.122488428393466	3.41482704057558	0.00063822524374307	0.0203708161752919	1	bacD
yqxL.3723	759.648025908924	-0.414221318230809	0.128115621782637	-3.23318352959003	0.0012241888862957	0.0351399722596423	1	yqxL
sipW.3709	558.845370811382	0.41138659568664	0.131303371088864	3.13310002839319	0.00172970483793868	0.0456663431596526	1	sipW
brxJ_ytxH.4517	3895.71562326743	-0.408925562693677	0.0923811123630521	-4.42650615730437	9.57716499235149e-06	0.000910256326050829	1	brxJ_ytxH
odhB.2933	16651.0569883822	-0.405408264673841	0.100378758680781	-4.03878539645122	5.37286931847712e-05	0.00334712462139327	1	odhB
ybyB.344	11939.1908011595	-0.399213530920581	0.117469000784857	-3.39845855717916	0.000677667292590402	0.0214695037808085	1	ybyB
yfjR.1209	650.493563921945	0.395706600348693	0.116898509916144	3.38504400639964	0.000711668440989769	0.0222175614752791	1	yfjR
ppnKB.4476	1183.20118150886	-0.388726291009127	0.111261217330026	-3.49381662665147	0.000476167962893878	0.016035987222812	1	ppnKB
citZ.4415	10788.0649462921	-0.386976528392258	0.0831628988014103	-4.65323520427472	3.26767151566919e-06	0.000358354642885055	1	citZ
ctc.90	38743.3198693775	-0.386818766392198	0.0986413879431529	-3.92146516242373	8.80121745158845e-05	0.00464726012844985	1	ctc
rlmB.163	872.104353287847	0.383056357508359	0.122095852384989	3.13734127757687	0.00170487554514017	0.0452903894817672	1	rlmB
dps.4632	48693.3420879487	-0.378045330287895	0.107671929495313	-3.51108531313494	0.000446281149736667	0.0152699558193898	1	dps
fosB.2689	1850.36619232928	0.376427515598346	0.111804478712157	3.36683753579734	0.000760354685221561	0.0233959495589397	1	fosB
S1367.5394	4449.37791983063	-0.37518985808718	0.108837055826229	-3.44726210424337	0.000566298894592328	0.0186312336320876	1	S1367
S140.660	6336.3887342356	-0.37505696720744	0.0932576900346583	-4.02172697037696	5.77730015826293e-05	0.00338486476395761	1	S140
citB.2719	12346.1552011978	-0.371300159254442	0.100072174852618	-3.71032367190259	0.000206994429052422	0.0086795605201687	1	citB
yhcX.1380	2045.6866406971	-0.370569555373484	0.0918562746869262	-4.03423235523644	5.4781090366502e-05	0.00334712462139327	1	yhcX
estA.430	2145.80533228006	0.36902922908745	0.100194728140985	3.68312021934113	0.000230396435140023	0.00938481479137025	1	estA
yitT.1643	2476.35903586117	-0.367171679526528	0.0912690090942714	-4.02296116907851	5.74709746495024e-05	0.00338486476395761	1	yitT
bmrR.3619	2192.59771760412	-0.366589260244542	0.0913048177157306	-4.01500456838855	5.94446433683585e-05	0.00340390812747167	1	bmrR
yzzP.2690	1738.42927093885	0.356365124359698	0.106805766006998	3.33657196313119	0.000848184670564787	0.0255470833521521	1	yzzP
rsbW.742	19009.0272586917	-0.355279474757002	0.0898705517065183	-3.95323571526749	7.71014154592619e-05	0.00417421207492738	1	rsbW
ytxH.4518	11792.3593511081	-0.347862948414495	0.0848277846722216	-4.10081378122337	4.11699770123908e-05	0.00275131237003118	1	ytxH
rsbV.741	11070.4831845017	-0.344921645612008	0.0977351759982548	-3.52914538792223	0.000416904022776873	0.0145137156090955	1	rsbV
yaaN.48	9919.59661619265	0.34410660290226	0.105599254874727	3.25860824785625	0.00111960154297717	0.032354971616982	1	yaaN
yocK.2915	2411.41010839909	-0.342602456857765	0.107591562093014	-3.18428741244206	0.00145110854146012	0.0395311543428339	1	yocK
gtaB.5387	48817.2627803537	-0.340611539191925	0.0977751666247207	-3.48362013535866	0.000494681052320733	0.0165293035998108	1	gtaB
pksE.2570	1429.15323094727	0.332047570192661	0.100207163250672	3.31361111742114	0.000920995037047841	0.0273548317600945	1	pksE
