Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig	Gene_base
ykzT.2090	427.524785829886	3.27387206559919	0.29574107363375	11.0700621505608	1.75279005041547e-28	3.05920290132514e-25	1	ykzT
ybaR.273	2486.85721141587	2.93285882184484	0.186713310664468	15.7078186413572	1.33700799974862e-55	7.00057388668376e-52	1	ybaR
Novel_transcript.2092	251.47505931073	2.57565107762403	0.306941660151617	8.39133754718004	4.80642153135795e-17	5.03328462763804e-14	1	Novel_transcript
kre.2093	1444.70559963422	-2.54590107496318	0.176467184994312	-14.427050984268	3.49717291354638e-47	9.15559868766442e-44	1	kre
pftB_pftA.4378	1202.5252401349	-2.38580053488449	0.631775025757211	-3.7763451190952	0.000159146442526202	0.00700244347115288	1	pftB_pftA
YP_009514004.5389	140.380405953145	2.34782828121521	0.421860337562078	5.56541602081688	2.61527711558978e-08	4.89056820615289e-06	1	YP_009514004
pftB.4377	4243.15616439904	-2.24189314297186	0.567665132304937	-3.9493233164928	7.83724345635053e-05	0.00394575064783186	1	pftB
pftA.4379	3039.86696259472	-2.17502291679616	0.695067435302148	-3.12922575037726	0.00175267596861795	0.0413378890616378	1	pftA
S1116.4457	49.6732177545833	2.07880680168667	0.681149625652006	3.0519091891107	0.00227390883024279	0.0485966801434745	1	S1116
yqbM.3925	39.5120844828893	1.92936047917893	0.61769983314651	3.12345960877297	0.00178738396014161	0.0419351272651664	1	yqbM
yqgE.3760	283.192935032925	1.7592253966515	0.362739598477142	4.84983002693145	1.23567315227913e-06	0.000124422781256414	1	yqgE
yhdB.1392	73.1910299775022	1.70492758055871	0.461202857642212	3.69669778126428	0.000218422105254614	0.00879737033163969	1	yhdB
yocC.2900	303.225667842979	1.67417851954922	0.299497989395623	5.5899491109361	2.27136168439444e-08	4.40475917758862e-06	1	yocC
gswB_S1503.5888	70.0005255096041	1.6650829612483	0.507420302005598	3.28146697060995	0.00103268618489924	0.0292278100763914	1	gswB_S1503
ssbB.5492	2212.34650986557	1.63637775625413	0.19612487170732	8.34355042279447	7.20926816549415e-17	6.2912880190879e-14	1	ssbB
yonV.3166	157.726922750111	-1.5946181243103	0.362261268224234	-4.40184547502675	1.07333992154596e-05	0.000749334377228621	1	yonV
desE.2903	7352.6763548014	1.52113982915142	0.151774952355128	10.0223377148042	1.21592330330619e-23	1.5916436040278e-20	1	desE
ssbB_ywpG.5493	450.16012120906	1.51363325312712	0.270058215242081	5.6048406147182	2.08446689508349e-08	4.19779563948351e-06	1	ssbB_ywpG
hutH.5944	88.7576969297088	-1.48199207333345	0.3548428654102	-4.17647420251853	2.96062301603471e-05	0.00174177776538851	1	hutH
desK_desR.2905	121.261920760335	1.45435386113959	0.355207504010329	4.09437820068491	4.23302865073998e-05	0.00235788702290155	1	desK_desR
yuzF.4812	705.577398028992	1.45305746435689	0.194206977773185	7.48200441105632	7.31974884166953e-14	4.25846721499797e-11	1	yuzF
yceG_yceH.469	75.1894687278241	-1.45003956518629	0.418323380504471	-3.46631250550146	0.000527649604055782	0.0169495296124913	1	yceG_yceH
phrA.1853	2596.06618396994	1.4452534257733	0.216471923065689	6.67640128708395	2.44880873726163e-11	1.06849687902516e-08	1	phrA
maeC_ytnP.4534	148.643530371353	-1.39355413691732	0.384469350708179	-3.62461698013234	0.000289390012540632	0.0108231864690196	1	maeC_ytnP
S1335.5295	626.161524690326	-1.37556496017653	0.200174904183866	-6.87181525468868	6.33900172420406e-12	3.31910130279325e-09	1	S1335
S1222.4813	419.316096255121	1.35483355725283	0.223791350293155	6.05400322880249	1.41289776037049e-09	4.05150534641216e-07	1	S1222
yrhH.4087	751.60630454844	-1.35296478168886	0.216442257395383	-6.25092714320266	4.08023195497214e-10	1.33525590726463e-07	1	yrhH
relQ.5809	1540.86368535676	-1.32912577746925	0.171576964431202	-7.74652810693708	9.44391167457413e-15	7.06404593258145e-12	1	relQ
sdpI.5111	12066.2126701019	1.32621458260831	0.201482336747694	6.58228708290722	4.63265960676986e-11	1.86589274623438e-08	1	sdpI
S907_S908.3608	189.598714429967	1.29870315989342	0.354129869137102	3.66730759836196	0.00024511786144426	0.00938151385520536	1	S907_S908
sdpR.5112	5212.98553977329	1.29673228361098	0.202447246053918	6.4052848773533	1.50088871056783e-10	5.23910219235544e-08	1	sdpR
desK.2904	869.69205678643	1.295949230844	0.241611024304946	5.3637835217665	8.14965683224138e-08	1.25504715216517e-05	1	desK
desR.2906	395.586774641775	1.28232651676498	0.247349585548733	5.1842679013195	2.16865021852229e-07	2.64070989399598e-05	1	desR
citZ.4415	22634.3771669603	1.28225490465656	0.166917396883582	7.68197281168291	1.56657090400522e-14	1.02532065667141e-11	1	citZ
yocC_yocD.2902	325.384773444826	1.27097090565409	0.238850084521512	5.32120768640388	1.03080639608527e-07	1.49925063608402e-05	1	yocC_yocD
S375.1568	344.159203480896	1.25372037319677	0.256169458280104	4.89410557220258	9.87538191385737e-07	0.00010552550959379	1	S375
refZ.4490	400.537060343002	1.25133042252117	0.281411662341853	4.44661892157505	8.72323846749541e-06	0.00062568324131241	1	refZ
edmS.5425	174.838414258671	-1.21761531745411	0.343367351970348	-3.54610102115725	0.000390976293900363	0.0139262032303558	1	edmS
walM.971	239.96208827429	1.20385547027637	0.372840036009978	3.22887928871498	0.00124276339268437	0.0330310107822098	1	walM
comS_srfAC.560	44915.7639986497	-1.18819803308184	0.240318725312708	-4.94425905237196	7.64340103857348e-07	8.55253055715396e-05	1	comS_srfAC
