Locus	logFC	AveExpr	t	P.Value	adj.P.Val	B	Updated_name
BSU_16270	6.795516667	21.48772292	4.474249086	0.000324303	0.011684599	-0.476456524	fliK
BSU_31830	5.701133333	21.8312125	4.44552436	0.000345023	0.012248323	-0.538910573	yueE
BSU_30780	5.98505	25.56161042	4.425966856	0.000359895	0.012591109	-0.581450766	menC
BSU_24840	5.3296	18.57285	4.405258877	0.000376352	0.012883045	-0.62650809	yqgS
BSU_28680	-5.4797	20.79254167	-4.397134025	0.000383015	0.012883045	-0.64419043	glcD
BSU_05650	-4.810933333	20.25926667	-4.393232986	0.000386257	0.012883045	-0.65268113	ydgH
BSU_04990	-6.670633333	18.90499583	-4.389260811	0.000389587	0.012883045	-0.661327157	yddJ
BSU_00830	6.266616667	26.63441875	4.347462394	0.000426438	0.013911095	-0.752336362	ctsR
BSU_16410	5.79065	18.70640625	4.295804523	0.000476905	0.015349968	-0.864876944	flhG
BSU_12930	6.005933333	25.03373333	4.276421972	0.000497365	0.015797885	-0.907118666	dppB
BSU_03950	6.7113	27.18569583	4.267732227	0.000506824	0.01582152	-0.926059176	ycnJ
BSU_24870	4.829166667	19.35103542	4.263752338	0.000511217	0.01582152	-0.934734353	yqgP
BSU_34400	-5.984266667	23.47487083	-4.208547514	0.000576279	0.01743949	-1.055092374	padC
BSU_33770	-5.2458	23.26606458	-4.207218245	0.000577945	0.01743949	-1.057990943	sdpC
BSU_06110	-5.0981	22.91965625	-4.180546901	0.000612418	0.018168724	-1.116153382	ydjA
BSU_13210	0.312233333	19.64794583	4.176993669	0.000617165	0.018168724	-1.123902391	thiX
BSU_29650	6.758416667	26.67276875	4.158404831	0.00064261	0.018510283	-1.164442855	dgcP
BSU_40320	-1.1736	30.07512083	-4.15733768	0.000644103	0.018510283	-1.166770265	rocF
BSU_10330	0.627866667	31.60219583	4.110779968	0.000712743	0.02022267	-1.268313318	yhfQ
BSU_02470	4.722666667	20.42451875	4.105841713	0.000720443	0.02022267	-1.279083752	ycbD
BSU_31550	-1.502933333	26.14882917	-4.098239708	0.000732462	0.020323704	-1.295663769	nupO
BSU_31160	-5.69575	25.14528125	-4.084656977	0.000754441	0.020695689	-1.325287279	yubA
BSU_13940	-7.1941	24.95644583	-4.03052341	0.000848848	0.023023819	-1.443338317	ykwB
BSU_10810	7.180366667	27.18079167	4.023357944	0.000862206	0.023126288	-1.458962056	yisP
BSU_25110	5.680283333	23.43952708	4.00616107	0.000895135	0.023745664	-1.496455594	yqfU
BSU_37620	4.208533333	25.3121875	3.999078252	0.000909062	0.023751927	-1.511896611	rsfA
BSU_22450	-6.168783333	25.94060625	-3.996067043	0.000915049	0.023751927	-1.518460997	cca
BSU_33340	-5.9424	22.40006458	-3.977823313	0.00095218	0.024395324	-1.558228533	sspJ
BSU_27110	0.625333333	25.903475	3.974049658	0.000960048	0.024395324	-1.566453522	yrhO
BSU_15020	5.5287	26.34510208	3.953278081	0.001004539	0.025259974	-1.61172145	ylbI
BSU_04070	0.299966667	19.23162083	3.916560251	0.001088317	0.026809068	-1.691715835	ycsI
BSU_17220	-0.779666667	26.4306625	-3.916544241	0.001088355	0.026809068	-1.691750707	pksR
BSU_03480	-0.839266667	35.5813125	-3.888954735	0.001155895	0.028185152	-1.751832679	srfAA
BSU_29950	-6.024666667	26.46574583	-3.875164277	0.001191215	0.028755941	-1.781855082	ytlQ
BSU_32770	-5.789166667	19.98940417	-3.865450734	0.001216742	0.029081345	-1.802997882	yusE
BSU_04940	-7.276383333	22.00965417	-3.851618609	0.001254042	0.029679004	-1.833099311	conE
BSU_24890	6.151783333	26.09427708	3.773184363	0.001488292	0.034880946	-2.003634801	yqgN
BSU_23240	-5.858516667	25.72469375	-3.733684754	0.001622366	0.03765761	-2.089401788	ribT
BSU_29930	-0.784766667	24.15430417	-3.725306453	0.001652322	0.037673644	-2.107582614	amyX
BSU_14009	-5.678683333	23.54856667	-3.721301013	0.001666837	0.037673644	-2.116272907	ykzT
BSU_01800	-6.243	24.66123333	-3.720467009	0.001669876	0.037673644	-2.11808226	alkA
BSU_03490	-0.744433333	37.11524583	-3.69822538	0.001752979	0.039182329	-2.166319177	srfAB
BSU_38570	6.8641	23.20406458	3.599443025	0.002174852	0.04795975	-2.380144756	licA
BSU_11820	5.441783333	21.14460625	3.597224419	0.002185407	0.04795975	-2.384938665	yjcD
BSU_12020	4.463983333	27.78839375	3.590707642	0.002216707	0.048208376	-2.39901761	manA
BSU_33760	-7.196666667	20.32505417	-3.574707134	0.002295462	0.049475395	-2.433570215	sdpB
